,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,_strategy,_equity_curve,
19,3116 days,99.90689013,669861.3765,735334.764,6598.613765,703.458242,63.76522891,61.79197327,1.03193385,2.685468705,1.630015494,-39.11940049,-6.470168044,560 days,34 days,636,56.91823899,13.79027612,-20.43429343,0.756166359,58 days,9 days,1.470574374,GeneticStrategy,"                 Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.0000     0.000000              NaT
2004-08-20   10000.0000     0.000000              NaT
2004-08-23   10121.5000     0.000000              NaT
2004-08-24   10594.9900     0.000000              NaT
2004-08-25   10483.9300     0.010482              NaT
...                 ...          ...              ...
2013-02-25  657062.7765     0.106444              NaT
2013-02-26  656531.5765     0.107166              NaT
2013-02-27  664541.0765     0.096274              NaT
2013-02-28  665719.6765     0.094671              NaT
2013-03-01  669861.3765     0.089039         560 days

[2148 rows x 3 columns]",
20,3116 days,99.30167598,41419.035,64081.6625,314.19035,703.458242,18.14325601,45.62922485,0.397623586,0.711497768,0.216440567,-83.82557959,-8.481483112,1942 days,92 days,414,52.41545894,20.43429343,-13.79027612,0.394527998,56 days,8 days,1.257071831,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10000.000     0.000000              NaT
2004-08-24  10000.000     0.000000              NaT
2004-08-25  10000.000     0.000000              NaT
...               ...          ...              ...
2013-02-25  40632.615     0.365924              NaT
2013-02-26  40599.975     0.366434              NaT
2013-02-27  41092.125     0.358754              NaT
2013-02-28  41164.545     0.357624              NaT
2013-03-01  41419.035     0.353652        1942 days

[2148 rows x 3 columns]",
21,3116 days,99.90689013,26520.174,38793.7575,165.20174,703.458242,12.12264054,42.94376312,0.282291063,0.474620747,0.147820926,-82.00896111,-9.125503118,1942 days,113 days,450,53.11111111,20.43429343,-13.79027612,0.34926362,56 days,8 days,1.238113765,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23   9878.500     0.012150              NaT
2004-08-24   9470.800     0.052920              NaT
2004-08-25   9572.500     0.042750              NaT
...               ...          ...              ...
2013-02-25  26026.734     0.329100              NaT
2013-02-26  26006.254     0.329628              NaT
2013-02-27  26315.054     0.321668              NaT
2013-02-28  26360.494     0.320496              NaT
2013-03-01  26520.174     0.316380        1942 days

[2148 rows x 3 columns]",
22,3116 days,99.90689013,10728.893,30058.343,7.28893,703.458242,0.828813047,36.99947227,0.022400672,0.032945815,0.011709264,-70.78267421,-12.11473348,1497 days,146 days,691,54.12445731,14.50331126,-20.43429343,0.25691262,48 days,8 days,1.197031241,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10121.500     0.000000              NaT
2004-08-24  10594.990     0.000000              NaT
2004-08-25  10483.930     0.010482              NaT
...               ...          ...              ...
2013-02-25  10528.433     0.649733              NaT
2013-02-26  10520.113     0.650010              NaT
2013-02-27  10645.563     0.645837              NaT
2013-02-28  10664.023     0.645223              NaT
2013-03-01  10728.893     0.643064        1015 days

[2148 rows x 3 columns]",
23,3116 days,99.90689013,991.2815,10000,-90.087185,703.458242,-23.75078053,27.01034644,0,0,0,-90.093785,-90.093785,3115 days,3115 days,486,44.23868313,13.79027612,-20.43429343,-0.551625626,56 days,8 days,0.837534485,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23   9878.5000     0.012150              NaT
2004-08-24   9470.8000     0.052920              NaT
2004-08-25   9572.5000     0.042750              NaT
...                ...          ...              ...
2013-02-25   1006.7015     0.899330              NaT
2013-02-26   1007.3415     0.899266              NaT
2013-02-27    997.6915     0.900231              NaT
2013-02-28    996.2715     0.900373              NaT
2013-03-01    991.2815     0.900872        3115 days

[2148 rows x 3 columns]",
24,3116 days,99.90689013,1047.3885,11496.0425,-89.526115,703.458242,-23.25668058,27.300097,0,0,0,-90.89487969,-23.83008175,3101 days,778 days,489,44.17177914,13.79027612,-20.43429343,-0.554838214,56 days,8 days,0.835739421,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23  10121.5000     0.000000              NaT
2004-08-24  10594.9900     0.000000              NaT
2004-08-25  10483.9300     0.010482              NaT
...                ...          ...              ...
2013-02-25   1062.8085     0.907550              NaT
2013-02-26   1063.4485     0.907494              NaT
2013-02-27   1053.7985     0.908334              NaT
2013-02-28   1052.3785     0.908457              NaT
2013-03-01   1047.3885     0.908891        3101 days

[2148 rows x 3 columns]",
25,3116 days,99.90689013,245591.273,363482.066,2355.91273,703.458242,45.57862273,55.45358859,0.821923772,1.9101615,0.79917085,-57.03238891,-7.28777628,584 days,41 days,600,57.83333333,15.10882657,-13.43542785,0.819003156,58 days,9 days,1.512326764,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.000     0.000000              NaT
2004-08-20   10000.000     0.000000              NaT
2004-08-23   10121.500     0.000000              NaT
2004-08-24   10594.990     0.000000              NaT
2004-08-25   10483.930     0.010482              NaT
...                ...          ...              ...
2013-02-25  240903.593     0.337234              NaT
2013-02-26  240709.033     0.337769              NaT
2013-02-27  243642.633     0.329698              NaT
2013-02-28  244074.313     0.328511              NaT
2013-03-01  245591.273     0.324337         584 days

[2148 rows x 3 columns]",
26,3116 days,99.90689013,74149.8795,80041.3365,641.498795,703.458242,26.49693329,47.45502402,0.558358864,1.050468458,0.351521946,-75.37774988,-6.888724715,1074 days,54 days,531,57.62711864,13.43542785,-20.43429343,0.602974463,56 days,8 days,1.390684822,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23   9878.5000     0.012150              NaT
2004-08-24   9470.8000     0.052920              NaT
2004-08-25   9572.5000     0.042750              NaT
...                ...          ...              ...
2013-02-25  72746.6595     0.091136              NaT
2013-02-26  72688.4195     0.091864              NaT
2013-02-27  73566.5695     0.080893              NaT
2013-02-28  73695.7895     0.079278              NaT
2013-03-01  74149.8795     0.073605         148 days

[2148 rows x 3 columns]",
27,3116 days,66.10800745,477.1075,11496.0425,-95.228925,703.458242,-30.01945431,20.32079094,0,0,0,-95.84981092,-25.06881456,3101 days,778 days,366,38.52459016,13.79027612,-20.43429343,-1.081345167,42 days,7 days,0.649029351,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23  10121.5000     0.000000              NaT
2004-08-24  10594.9900     0.000000              NaT
2004-08-25  10483.9300     0.010482              NaT
...                ...          ...              ...
2013-02-25    477.1075     0.958498              NaT
2013-02-26    477.1075     0.958498              NaT
2013-02-27    477.1075     0.958498              NaT
2013-02-28    477.1075     0.958498              NaT
2013-03-01    477.1075     0.958498        3101 days

[2148 rows x 3 columns]",
28,3116 days,99.90689013,16956.549,34531.271,69.56549,703.458242,6.391152418,39.99203709,0.159810624,0.253424867,0.075373375,-84.79323712,-10.79821622,1942 days,114 days,455,50.10989011,20.43429343,-13.79027612,0.119695431,56 days,8 days,1.11650907,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23   9878.500     0.012150              NaT
2004-08-24   9470.800     0.052920              NaT
2004-08-25   9572.500     0.042750              NaT
...               ...          ...              ...
2013-02-25  16632.729     0.518329              NaT
2013-02-26  16619.289     0.518718              NaT
2013-02-27  16821.939     0.512849              NaT
2013-02-28  16851.759     0.511986              NaT
2013-03-01  16956.549     0.508951        1942 days

[2148 rows x 3 columns]",
29,3116 days,70.34450652,103390.941,103475.421,933.90941,703.458242,31.52778263,37.20261968,0.847461359,1.755277243,0.817212895,-38.57964408,-5.625410971,680 days,47 days,252,58.33333333,13.31568498,-9.55830551,0.870919545,54 days,9 days,1.54624324,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.000     0.000000              NaT
2004-08-20   10000.000     0.000000              NaT
2004-08-23   10121.500     0.000000              NaT
2004-08-24   10594.990     0.000000              NaT
2004-08-25   10483.930     0.010482              NaT
...                ...          ...              ...
2013-02-25  101417.181     0.019891              NaT
2013-02-26  101335.261     0.020683              NaT
2013-02-27  102570.461     0.008746              NaT
2013-02-28  102752.221     0.006989              NaT
2013-03-01  103390.941     0.000816          10 days

[2148 rows x 3 columns]",
30,3116 days,99.90689013,115537.455,132599.416,1055.37455,703.458242,33.25299412,50.329553,0.660705135,1.349747224,0.73610275,-45.17439191,-7.162712037,625 days,47 days,557,54.39856373,14.50331126,-20.43429343,0.519958882,58 days,9 days,1.325647962,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.000     0.000000              NaT
2004-08-20   10000.000     0.000000              NaT
2004-08-23   10121.500     0.000000              NaT
2004-08-24   10594.990     0.000000              NaT
2004-08-25   10483.930     0.010482              NaT
...                ...          ...              ...
2013-02-25  113332.395     0.145302              NaT
2013-02-26  113240.875     0.145993              NaT
2013-02-27  114620.825     0.135586              NaT
2013-02-28  114823.885     0.134054              NaT
2013-03-01  115537.455     0.128673         584 days

[2148 rows x 3 columns]",
31,3116 days,99.90689013,226005.1095,299266.9555,2160.051095,703.458242,44.16606209,54.96673446,0.803505293,1.822631319,0.851553496,-51.86528187,-7.503066084,584 days,46 days,613,57.42251223,15.10882657,-15.3051017,0.686856529,58 days,9 days,1.428551095,GeneticStrategy,"                 Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.0000     0.000000              NaT
2004-08-20   10000.0000     0.000000              NaT
2004-08-23   10121.5000     0.000000              NaT
2004-08-24   10594.9900     0.000000              NaT
2004-08-25   10483.9300     0.010482              NaT
...                 ...          ...              ...
2013-02-25  221687.5095     0.259232              NaT
2013-02-26  221508.3095     0.259830              NaT
2013-02-27  224210.3095     0.250802              NaT
2013-02-28  224607.9095     0.249473              NaT
2013-03-01  226005.1095     0.244804         584 days

[2148 rows x 3 columns]",
32,3116 days,59.40409683,428.1545,11496.0425,-95.718455,703.458242,-30.90263076,20.35446884,0,0,0,-96.27563572,-25.17527076,3101 days,778 days,363,38.01652893,20.43429343,-13.79027612,-1.009539532,42 days,6 days,0.666314829,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23  10121.5000     0.000000              NaT
2004-08-24  10594.9900     0.000000              NaT
2004-08-25  10483.9300     0.010482              NaT
...                ...          ...              ...
2013-02-25    428.1545     0.962756              NaT
2013-02-26    428.1545     0.962756              NaT
2013-02-27    428.1545     0.962756              NaT
2013-02-28    428.1545     0.962756              NaT
2013-03-01    428.1545     0.962756        3101 days

[2148 rows x 3 columns]",
33,3116 days,99.90689013,148864.4875,208068.0375,1388.644875,703.458242,37.27454664,52.64511466,0.708034295,1.477944457,0.674123592,-55.29334243,-6.816626147,584 days,44 days,607,56.34266886,13.79027612,-20.43429343,0.65112022,58 days,9 days,1.405562765,GeneticStrategy,"                 Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.0000     0.000000              NaT
2004-08-20   10000.0000     0.000000              NaT
2004-08-23   10121.5000     0.000000              NaT
2004-08-24   10594.9900     0.000000              NaT
2004-08-25   10483.9300     0.010482              NaT
...                 ...          ...              ...
2013-02-25  146027.2075     0.298176              NaT
2013-02-26  145909.4475     0.298742              NaT
2013-02-27  147685.0475     0.290208              NaT
2013-02-28  147946.3275     0.288952              NaT
2013-03-01  148864.4875     0.284539         584 days

[2148 rows x 3 columns]",
